Step,Score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,20
26,20
27,20
28,20
29,20
30,20
31,20
32,20
33,20
34,30
35,40
36,40
37,40
38,40
39,30
40,40
41,40
42,30
43,30
44,30
45,30
46,30
47,30
48,20
49,20
50,20
51,20
52,20
53,30
54,30
55,30
56,30
57,30
58,30
59,20
60,20
61,20
62,20
63,20
64,30
65,30
66,30
67,40
68,40
69,40
70,40
71,40
72,40
73,40
74,30
75,30
76,30
77,10
78,10
79,0
80,0
81,-10
82,-20
83,-20
84,-30
85,-30
86,-30
87,-30
88,-50
89,-50
90,-40
91,-40
92,-40
93,-40
94,-40
95,-40
96,-40
97,-40
98,-40
99,-40
100,-40
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,20
