Step,Score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,20
24,30
25,30
26,30
27,30
28,30
29,30
30,40
31,40
32,40
33,40
34,40
35,40
36,50
37,40
38,40
39,40
40,40
41,40
42,40
43,40
44,40
45,40
46,30
47,30
48,20
49,10
50,20
51,10
52,0
53,10
54,0
55,0
56,0
57,20
58,20
59,40
60,40
61,40
62,40
63,30
64,20
65,10
66,0
67,10
68,0
69,-20
70,-20
71,-30
72,-30
73,-30
74,-30
75,-30
76,-30
77,-30
78,-30
79,-20
80,-10
81,-10
82,-10
83,-10
84,-10
85,-20
86,-20
87,-20
88,-10
89,-10
90,-10
91,-10
92,-10
93,-10
94,-10
95,0
96,0
97,0
98,0
99,0
100,0
101,10
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,10
116,10
117,10
118,0
119,0
120,0
121,0
122,0
123,0
124,10
125,10
126,10
127,10
128,10
129,10
130,20
131,20
132,20
133,20
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
